ID,Expression,SUCCESS,TIME,Expression_Details
sogn_s_83_43_100,x1-x1/(x2*(x1*x2+2*x2))-x2,0,2.811175585,"sub,x1,add,div,div,x1,add,add,x1,mul,div,add,sub,x2,x1,mul,x2,x1,x2,x2,x2,x2,x2"
sogn_s_83_44_100,x1-x2,1,2.796235561,"sub,add,x1,x1,add,x2,x1"
sogn_s_83_45_100,x1-x2,1,2.882597446,"sub,x1,sub,add,x1,x2,x1"
sogn_s_83_46_100,(-x1+x2)*(-x1**2*x2+x1)/x1,0,2.832700253,"div,sub,x2,x1,div,x1,sub,x1,mul,mul,x1,x1,x2"
sogn_s_83_47_100,x1**3/x2+x1-x2,0,2.748693943,"sub,add,mul,div,mul,x2,div,mul,x1,x1,mul,div,x2,x1,x2,x1,x1,x1,x2"
sogn_s_83_48_100,x2*(-x1+x2)/(x1**2/(x2*(x1+x2))-x1),0,2.781541586,"mul,div,x2,sub,div,x1,div,add,x1,x2,div,x1,x2,x1,sub,x2,x1"
sogn_s_83_49_100,x1-x2,1,2.764776707,"sub,sub,x2,x2,sub,x1,sub,add,x1,x1,x2"
sogn_s_83_50_100,x1-x2+1,0,2.751061678,"add,x1,sub,mul,mul,div,mul,div,x1,x2,div,div,mul,x2,div,x2,x2,x1,x1,x2,x2,x1,x2"
sogn_s_83_51_100,x1-x2,1,2.838759661,"sub,div,x1,div,x2,x2,sub,x2,mul,x1,sub,x1,x1"
sogn_s_83_52_100,x1-x2,1,2.761564255,"sub,x1,sub,sub,x1,sub,x1,add,x1,x2,x1"
sogn_s_83_53_100,x1-x2,1,2.851826429,"sub,x2,add,x2,add,x2,sub,mul,mul,x1,div,sub,x1,x1,x2,x1,x1"
sogn_s_83_54_100,-x1**3/x2+x1-x2,0,2.746371269,"sub,x1,add,x2,div,x1,div,div,x2,x1,x1"
sogn_s_83_55_100,x1-x2,1,2.766251802,"mul,sub,x1,x2,sub,x1,sub,add,sub,x1,x2,x2,div,x2,x2"
sogn_s_83_56_100,x1-x2+x2*(-x1-x2+x2/x1)/x1,0,2.776994467,"sub,add,x1,mul,div,x2,x1,sub,x1,add,add,sub,x1,div,x2,x1,x1,x2,x2"
sogn_s_83_57_100,x1+x1/x2**2-x2,0,2.874662876,"add,sub,div,x1,mul,add,mul,sub,x2,x2,mul,mul,mul,div,x2,x1,x2,x1,x1,x2,x2,x2,x1"
sogn_s_83_58_100,x1*x2/(-x1*(x1+x2)+x2)+x1,0,2.891733408,"add,mul,x2,div,x1,sub,x2,mul,x1,add,x2,x1,x1"
sogn_s_83_59_100,zoo*x1+x1-x2,0,2.841895342,"sub,x1,sub,x2,div,x1,mul,x2,mul,mul,x2,x2,sub,x1,x1"
sogn_s_83_60_100,x1-x2,1,2.850313187,"sub,x2,add,x2,sub,x2,x1"
sogn_s_83_61_100,x1-x2,1,2.888381481,"mul,sub,sub,x2,div,x1,x1,x2,sub,x2,x1"
sogn_s_83_62_100,x1-x2,1,2.724477053,"sub,x1,sub,x2,mul,x2,div,sub,x1,x1,add,add,x1,x1,x2"
sogn_s_83_63_100,x1+x2/(-x1+3*x2),0,2.923533678,"add,x1,mul,x2,div,x2,mul,add,sub,add,x2,x2,x1,x2,x2"
sogn_s_83_64_100,x1-x2-x2/(x1*(2*x2-x2/x1**2)),0,2.837070704,"sub,sub,x1,x2,div,x2,mul,sub,add,add,sub,x2,div,div,x2,x1,x1,x1,x2,x1,x1"
sogn_s_83_65_100,(x1**2*(x1-x2)+x2)/x1**2,0,2.794621944,"div,add,x2,mul,sub,add,sub,x1,x2,x2,x2,mul,x1,x1,mul,x1,x1"
sogn_s_83_66_100,x1+x1/(2*x2*(-x1*x2+x2)),0,2.831736565,"add,x1,mul,x2,div,x1,mul,mul,sub,x2,mul,x2,x1,x2,add,x2,x2"
sogn_s_83_67_100,x1-x2,1,2.840986013,"sub,sub,x1,sub,x2,x2,x2"
sogn_s_83_68_100,x1+x2*(-x2-x2/x1)/x1,0,2.757697105,"add,mul,div,sub,sub,x2,div,x2,x1,add,div,x2,div,x1,x1,x2,x1,x2,x1"
sogn_s_83_69_100,zoo*x1*(x1+x2)+x1-x2,0,2.952822685,"add,sub,x1,x2,mul,add,x1,x2,div,div,mul,x1,x2,x2,sub,x1,x1"
sogn_s_83_70_100,x1-x2,1,2.912894249,"add,sub,x1,x2,div,sub,x1,x1,x2"
sogn_s_83_71_100,x1-x2,1,2.758406401,"sub,x1,add,x2,sub,x2,x2"
sogn_s_83_72_100,x1-x2+x2/(x1-x2),0,2.782860756,"add,x1,add,sub,x1,add,x1,x2,div,x2,sub,x1,x2"
sogn_s_83_73_100,x1-x2+x2*(x1+x2)/(x1*(x1+2*x2)),0,2.752385616,"sub,x1,sub,x2,div,add,x2,x1,mul,x1,div,add,add,x1,x2,x2,x2"
sogn_s_83_74_100,x1-x2+(2*x1+x2)/(x1*(3*x1+x2)+x1),0,2.878512144,"sub,add,x1,div,add,x1,add,x2,x1,add,x1,mul,x1,add,add,x1,add,x1,x1,x2,x2"
sogn_s_83_75_100,x1-x2+1/x2,0,2.82718277,"add,div,x1,mul,x1,x2,sub,x1,x2"
sogn_s_83_76_100,-2*x1*x2**3+x1-x2,0,2.846800327,"sub,sub,x1,x2,mul,div,add,x2,x2,div,div,x1,x2,mul,x1,x2,x1"
sogn_s_83_77_100,x1-x2**2*(x1-x2)/(x1**2*x2-x2)-x2,0,2.837762833,"sub,x1,add,mul,sub,x1,x2,div,mul,x2,x2,sub,mul,x2,mul,x1,x1,x2,x2"
sogn_s_83_78_100,x1-x2-1,0,2.79395175,"sub,sub,x1,x2,mul,div,sub,x1,sub,x1,x2,mul,x2,x2,x2"
sogn_s_83_79_100,x1-x2+x2*(2*x1-(x1+x2)/x1)/x1,0,2.812443018,"sub,x1,sub,x2,div,x2,div,x1,add,x1,sub,x1,div,add,x1,x2,x1"
sogn_s_83_80_100,x1-x2,1,2.817070484,"add,x2,sub,x1,add,x2,x2"
sogn_s_83_81_100,x1-x2,1,2.926827431,"sub,x2,add,x2,sub,x2,x1"
sogn_s_83_82_100,x1-x2+x2/x1**2,0,2.874212503,"add,sub,x1,x2,div,x2,mul,x1,x1"
sogn_s_83_83_100,x1+x2**2/(x1-x2*(x1+x1/x2)),0,2.883955956,"add,x1,mul,x2,div,x2,sub,x1,mul,add,x1,div,x1,x2,x2"
sogn_s_83_84_100,0,0,2.799051523,"sub,sub,x1,sub,add,div,mul,x1,div,x2,div,x1,add,x1,x2,x2,x2,x1,x1"
sogn_s_83_85_100,x1-x2-(-x1+x2)/(x1+x2),0,2.804219723,"sub,sub,x1,div,sub,x2,x1,div,add,x2,x1,div,x1,x1,x2"
sogn_s_83_86_100,2*x1-x2,0,2.828334808,"sub,add,mul,x2,mul,div,x1,div,mul,x2,x1,x1,div,x1,x1,x1,x2"
sogn_s_83_87_100,x1+x1/(x1*x2+x1+x2)-x2,0,2.8855896,"add,x1,sub,div,x1,add,x2,add,mul,x1,x2,x1,x2"
sogn_s_83_88_100,x1*x2/(-x1+x2)-x2,0,2.829689264,"sub,mul,x1,div,x2,sub,x2,x1,x2"
sogn_s_83_89_100,x1-x2+(x1+x2)/x2,0,2.84146452,"sub,x1,sub,x2,div,add,x1,x2,mul,mul,x2,div,x2,mul,x2,x2,x2"
sogn_s_83_90_100,x1-x2,1,2.943691254,"sub,sub,x1,add,sub,mul,sub,x2,x2,mul,mul,x1,sub,x1,x1,x2,x1,x2,x1"
sogn_s_83_91_100,x1+x1*(-2*x1-x1/x2+x2)/x2-x2,0,2.910783052,"add,x1,sub,mul,x1,div,sub,x2,add,add,add,sub,div,x1,x2,x2,x1,x1,x2,x2,x2"
sogn_s_83_92_100,x1-x2-(2*x1-x1*(x1+x2)/x2)/x2,0,2.796985626,"sub,x1,add,div,add,sub,x1,mul,div,add,x1,x2,x2,x1,x1,x2,x2"
sogn_s_83_93_100,x1*(-x1+x2)/(-x1-x2+x2/(x2**2+x2)),0,2.810658455,"mul,sub,x2,x1,div,x1,sub,sub,mul,div,x1,mul,add,mul,x2,x2,x2,x1,x2,x1,x2"
sogn_s_83_94_100,x1+x1/x2-x2,0,2.822630882,"sub,add,div,x1,x2,x1,x2"
sogn_s_83_95_100,2*x1+x2*(x1+x2)/(x1-x2**3-x2),0,3.908234596,"add,add,x1,mul,add,x2,x1,div,x2,sub,sub,x1,x2,mul,x2,mul,x2,x2,x1"
sogn_s_83_96_100,x1-x2-x2/x1**2,0,2.750699282,"sub,x1,add,x2,div,x2,mul,x1,x1"
