ID,Expression,SUCCESS,TIME,Expression_Details
sogn_+_1_42_100,2*x2,0,5.757179976,"add,x2,sub,x1,div,x1,div,x1,sub,x1,mul,div,x1,x1,x2"
sogn_+_1_43_100,x1+x2,1,6.108183861,"add,x1,sub,x2,sub,x2,x2"
sogn_+_1_44_100,x1+x1/x2+x2+x2/(x1+x2**2+x2),0,5.964079857,"add,add,x1,x2,add,div,x1,x2,div,x2,add,mul,x2,x2,add,x1,x2"
sogn_+_1_45_100,x1+x2,1,5.594517708,"sub,add,x1,x2,sub,x1,x1"
sogn_+_1_46_100,x2,0,5.573218584,"add,x2,add,x2,sub,sub,x1,x2,mul,x2,div,x1,x2"
sogn_+_1_47_100,x1+x2/2,0,6.641510963,"add,x2,sub,x1,mul,x2,sub,add,div,mul,div,x2,x1,x1,add,x2,x2,x1,x1"
sogn_+_1_48_100,x1+x1/x2+x2,0,5.610694885,"add,add,x1,div,x1,x2,x2"
sogn_+_1_49_100,x1-x1/x2**3+x2,0,5.373235703,"add,sub,x2,div,add,x2,sub,add,x1,sub,div,x1,mul,x2,x2,x1,x2,x2,x1"
sogn_+_1_50_100,x1*(x1/(-2*x1+2*x2)+x2)/x2+x2,0,6.659757137,"add,x2,mul,x1,div,add,div,x1,mul,add,x2,x2,div,sub,x2,x1,x2,x2,x2"
sogn_+_1_51_100,x1+x2+1/x2,0,6.281670332,"add,add,x1,x2,div,div,x2,x2,x2"
sogn_+_1_52_100,x1+x2+(x1+x1/x2)/x2,0,5.740616322,"add,x2,add,x1,div,mul,div,mul,x1,div,sub,add,add,div,x1,x2,x1,x1,x1,x2,x2,x2,x1"
sogn_+_1_53_100,x1+x2,1,5.604420185,"add,div,sub,add,x1,add,x2,x1,x2,div,x1,sub,x2,x2,add,x1,x2"
sogn_+_1_54_100,x1**2/(x2*(2-x2/x1))+x1+x2,0,6.707274199,"add,add,x1,div,x1,div,mul,sub,div,add,x1,x1,x1,div,x2,x1,x2,x1,x2"
sogn_+_1_55_100,x1+x2,1,5.810499668,"add,x1,sub,x2,mul,sub,x1,x1,sub,x1,add,x1,x1"
sogn_+_1_56_100,x1-x1/(2*x1-x2)+x2,0,5.433226585,"sub,x2,sub,div,x1,sub,add,x1,x1,x2,x1"
sogn_+_1_57_100,x1+x2,1,7.603888988,"add,add,x2,x1,div,sub,add,x2,mul,x2,sub,sub,x1,sub,x2,x2,x1,x2,x1"
