ID,Expression,SUCCESS,TIME,Expression_Details
sogn_d_49_70_100,x2/(zoo*x1*x2+x1+x2**2),0,1.38182807,"div,x2,add,add,mul,div,x2,sub,x2,x2,x1,mul,x2,x2,x1"
sogn_d_49_71_100,(x1+x2)/(x2*(-x1+x2)),0,1.329563379,"div,div,x2,x2,mul,div,sub,x2,x1,add,x1,x2,x2"
sogn_d_49_72_100,x2**2/(x1**2+x1),0,1.397336006,"mul,x2,div,x2,add,x1,mul,x1,x1"
sogn_d_49_73_100,(x2+2)/(x1*(x1/x2+x2)),0,1.405509472,"div,add,div,add,x2,x2,x2,x2,mul,add,x2,div,x1,x2,x1"
sogn_d_49_74_100,#DIV/0!,0,1.403501749,"sub,x2,add,x2,sub,x1,sub,x2,sub,add,x2,div,x2,add,add,x2,x2,x1,x1"
sogn_d_49_75_100,x1*x2/(x1+x2)-x1,0,1.424725056,"sub,mul,add,div,x2,add,x2,x1,sub,x2,x2,x1,x1"
sogn_d_49_76_100,x1/(x2+2),0,1.384937048,"div,x1,add,mul,div,add,x2,x2,add,sub,x2,x2,mul,x2,x2,x2,x2"
sogn_d_49_77_100,x1**2/x2,0,1.382082701,"mul,x1,div,x1,x2"
sogn_d_49_78_100,x1**2/x2**2,0,1.404033899,"mul,div,x1,div,mul,x2,mul,div,mul,x1,x1,x1,x2,x1,x1"
sogn_d_49_79_100,(x1*x2-x1)/(x1**2*x2*(-3*x1+2)),0,1.384705782,"div,div,sub,mul,x1,x2,x1,mul,mul,sub,sub,sub,div,add,x1,x1,x1,x1,x1,x1,x1,x1,x2"
sogn_d_49_80_100,x1**(-2),0,1.330004692,"mul,x2,div,x2,mul,mul,x2,mul,x1,x2,mul,x1,div,x2,x2"
sogn_d_49_81_100,x2*(x1+x2)/x1,0,1.56034708,"div,x2,div,x1,add,x2,x1"
sogn_d_49_82_100,x1/(-x1**2-x1*(-x1+x2)),0,1.403479099,"div,x1,sub,sub,x1,add,mul,sub,x2,x1,x1,x1,mul,x1,x1"
sogn_d_49_83_100,(-x2+1)/x1**2,0,1.40858674,"div,x2,mul,mul,div,mul,x1,x2,mul,x2,sub,div,x1,x1,x2,x2,x1"
sogn_d_49_84_100,x1/x2,1,1.395687103,"div,sub,x2,sub,x2,x1,x2"
sogn_d_49_85_100,zoo*x1,0,1.398724556,"div,x1,sub,x2,x2"
sogn_d_49_86_100,0,0,1.385544538,"div,sub,x2,x2,sub,x2,div,x2,sub,x1,add,x1,x1"
